,Layer,Arthritis nodes,Acute_febrile_mucocutaneous_lymph_node_syndrome nodes,sAB
0,disease_on_genes,30,30,-0.06666666666666665
1,disease_on_symptoms,19,18,0.6709736051841313
2,disease_on_drugs,29,25,0.03790549169859503
