,Layer,Cervical_cancer nodes,Corneal_ulceration nodes,sAB
0,disease_on_genes,27,28,0.09089706589706581
1,disease_on_symptoms,23,19,0.7545494170208131
2,disease_on_drugs,15,26,-0.1756097560975609
