,Layer,Esophagitis nodes,Precocious_puberty nodes,sAB
0,disease_on_genes,24,30,0.2250751982499315
1,disease_on_symptoms,23,14,1.2759778411952325
2,disease_on_drugs,20,24,1.1795454545454547
