,Layer,Myopathy nodes,Hyperpigmentation_of_the_skin nodes,sAB
0,disease_on_genes,18,24,0.5436507936507935
1,disease_on_symptoms,21,23,1.7990306794654622
2,disease_on_drugs,6,12,0.5555555555555558
