,Layer,Myositis_disease nodes,Benign_Neonatal_Epilepsy nodes,sAB
0,disease_on_genes,30,29,0.0680790960451978
1,disease_on_symptoms,24,16,1.1520833333333336
2,disease_on_drugs,28,26,0.24404761904761885
