,Layer,Oligomenorrhea nodes,Goiter nodes,sAB
0,disease_on_genes,28,26,0.7193732193732194
1,disease_on_symptoms,12,15,1.6574074074074074
2,disease_on_drugs,21,16,1.3339768339768339
