,Layer,Preeclampsia nodes,Erysipelas nodes,sAB
0,disease_on_genes,26,28,0.2605820105820107
1,disease_on_symptoms,17,20,1.7799682034976154
2,disease_on_drugs,23,27,0.8182608695652174
