,Layer,Pulmonary_fibrosis nodes,Headache nodes,sAB
0,disease_on_genes,24,30,0.18472222222222223
1,disease_on_symptoms,22,25,0.5709284332688587
2,disease_on_drugs,24,26,0.26076923076923086
