,Layer,Pyelonephritis nodes,Orthostatic_hypotension nodes,sAB
0,disease_on_genes,23,30,0.38981405523653256
1,disease_on_symptoms,21,12,1.5416666666666667
2,disease_on_drugs,19,17,0.3594771241830066
