,Layer,Tremor nodes,Uterine_leiomyoma nodes,sAB
0,disease_on_genes,16,24,0.20625000000000004
1,disease_on_symptoms,23,21,2.3836344814605686
2,disease_on_drugs,16,18,0.7645016339869282
