,Layer,Back_pain nodes,Coarctation_of_aorta nodes,sAB
0,disease_on_genes,30,27,-0.03606237816764146
1,disease_on_symptoms,15,19,0.4520123839009287
2,disease_on_drugs,23,24,-0.023223095898858848
