,Layer,Dysuria nodes,Anaphylaxis nodes,sAB
0,disease_on_genes,30,27,0.1744639376218322
1,disease_on_symptoms,12,14,1.6520146520146521
2,disease_on_drugs,21,26,0.19104122827527092
