,Layer,Enterocolitis nodes,Medulloblastoma nodes,sAB
0,disease_on_genes,27,27,-0.12962962962962965
1,disease_on_symptoms,21,22,0.20839625490788283
2,disease_on_drugs,25,26,-0.11888386123680217
