,Layer,Hypertensive_disorder nodes,Abetalipoproteinaemia nodes,sAB
0,disease_on_genes,27,14,-0.08449477351916368
1,disease_on_symptoms,21,26,0.4661756683033278
2,disease_on_drugs,26,14,0.17005494505494512
