,Layer,Hypertensive_disorder nodes,Diabetes_mellitus nodes,sAB
0,disease_on_genes,27,21,-0.375
1,disease_on_symptoms,21,22,-0.5828047921071176
2,disease_on_drugs,26,19,-0.43969860548807926
