,Layer,Mastocytosis nodes,Disorder_of_orbital_region nodes,sAB
0,disease_on_genes,30,30,-0.04999999999999993
1,disease_on_symptoms,24,18,0.5307539682539684
2,disease_on_drugs,20,28,0.11785714285714288
