,Layer,Pulmonary_fibrosis nodes,Carcinoma_of_pancreas nodes,sAB
0,disease_on_genes,25,30,-0.016666666666666607
1,disease_on_symptoms,22,18,0.28686868686868694
2,disease_on_drugs,25,21,0.10496894409937885
