,Layer,Thrombophilia nodes,Meningitis nodes,sAB
0,disease_on_genes,27,29,0.0714285714285714
1,disease_on_symptoms,18,17,0.7683940242763772
2,disease_on_drugs,22,27,0.43484161341304195
