,Layer,Urinary_incontinence nodes,Hepatic_encephalopathy nodes,sAB
0,disease_on_genes,29,30,0.05084745762711873
1,disease_on_symptoms,20,14,0.6781512605042019
2,disease_on_drugs,20,29,0.026249120337790144
